airline_name,rank,score
Singapore Airlines,1,100.0
Qatar Airways,2,99.0
ANA All Nippon Airways,3,98.0
Emirates,4,97.0
Japan Airlines,5,96.0
Turkish Airlines,6,95.0
Air France,7,94.0
Cathay Pacific Airways,8,93.0
EVA Air,9,92.0
Korean Air,10,91.0
Hainan Airlines,11,90.0
Swiss International Air Lines,12,89.0
Etihad Airways,13,88.0
Iberia,14,87.0
Fiji Airways,15,86.0
Vistara,16,85.0
Qantas Airways,17,84.0
British Airways,18,83.0
Air New Zealand,19,82.0
Delta Air Lines,20,81.0
Lufthansa,21,80.0
Virgin Atlantic,22,79.0
Saudi Arabian Airlines,23,78.0
Finnair,24,77.0
KLM Royal Dutch Airlines,25,76.0
China Southern Airlines,26,75.0
Oman Air,27,74.0
Asiana Airlines,28,73.0
Bangkok Airways,29,72.0
Garuda Indonesia,30,71.0
AirAsia,31,70.0
Gulf Air,32,69.0
Scoot,33,68.0
Austrian Airlines,34,67.0
Ethiopian Airlines,35,66.0
Aegean Airlines,36,65.0
Air Astana,37,64.0
Air Canada,38,63.0
STARLUX Airlines,39,62.0
Thai Airways,40,61.0
China Airlines,41,60.0
Kuwait Airways,42,59.0
IndiGo,43,58.0
Vietnam Airlines,44,57.0
LATAM,45,56.0
Virgin Australia,46,55.0
Malaysia Airlines,47,54.0
Azul Brazilian,48,53.0
United Airlines,49,52.0
Azerbaijan Airlines,50,51.0
Flynas,51,50.0
Alaska Airlines,52,49.0
Royal Air Maroc,53,48.0
Volotea,54,47.0
jetBlue Airways,55,45.99999999999999
Rex Airlines,56,44.99999999999999
Aer Lingus,57,44.00000000000001
Transavia France,58,43.00000000000001
Sun Country Airlines,59,42.0
Southwest Airlines,60,41.0
airBaltic,61,40.0
Air Transat,62,39.0
Jet2.com,63,38.0
WestJet,64,37.0
EasyJet,65,36.0
Royal Brunei Airlines,66,35.0
Vueling Airlines,67,34.0
Ryanair,68,33.0
Jetstar Airways,69,32.0
flyDubai,70,31.0
SunExpress,71,30.0
South African Airways,72,29.0
Kenya Airways,73,28.0
Peach,74,27.0
Hong Kong Airlines,75,26.0
JetSMART Airlines,76,25.0
Jetstar Asia,77,24.0
Air Mauritius,78,23.0
Eurowings,79,22.0
Philippine Airlines,80,21.0
SKY Airline,81,20.0
American Airlines,82,19.0
Copa Airlines,83,18.0
SAS Scandinavian,84,17.0
Hawaiian Airlines,85,16.0
LOT Polish,86,15.0
Wizz Air,87,14.0
Air Arabia,88,13.0
TAP Portugal,89,12.0
RwandAir,90,11.0
PLAY,91,10.0
TUI Airways,92,9.0
Air Canada rouge,93,8.0
Citilink,94,7.0
Juneyao Air,95,6.0
Air Dolomiti,96,5.0
Breeze Airways,97,4.0
Norwegian,98,3.0
Porter Airlines,99,2.0
Brussels Airlines,100,1.0
